,City,NickName,Province,Sex,Signature
0,景德镇,无情,江西,2,
1,嘉兴,程程爱硕硕,浙江,0,靠硕呼吸，爱硕占有我整个曾经和未来。
2,景德镇,整骨专家,江西,1,大家快乐
3,南昌,潘剑,江西,1,
4,景德镇,月芽儿,江西,2,宁静致远
5,景德镇,酒仙,江西,1,户外驴友
6,景德镇,魏春义,江西,1,世界是圆的，我是方的。
7,,邻家妈,,0,
8,景德镇,心雨,江西,2,
9,徐汇,饶敏,上海,2,自信善待宽容
10,抚州,yal,江西,2,
11,杭州,小A（主号）自助下单,浙江,2,如果被封号请加boom0719 或者xypifa2014
12,景德镇,旦宝宝,江西,2,
13,景德镇,秀?秀,江西,2,
14,景德镇,若无,江西,2,决不姑息！！！！
15,,林婵娟,,0,
16,景德镇,星期八,江西,1,南无阿弥陀佛
17,,暗夜,,0,
18,景德镇,胡建,江西,1,
19,台州,詹舰,浙江,1,
20,宜春,跑,江西,1,
21,,小库房,,2,不让我看你朋友圈，也别想看我的，屏蔽的一律拉黑。
22,景德镇,沙迹随行,江西,1,没个性可以吗
23,,主人,,0,
24,,珊瑚树,,2,
25,深圳,Duke,广东,1,MAX！
26,景德镇,余润涵,江西,1,以柔克钢，顺理成章。以钢克钢，两败俱伤。
27,景德镇,海上杜鹃,江西,2,接受预定手工饺子13767901354
28,景德镇,江艳红,江西,2,重要的不是他有多好，而是他对你有多好。
29,,张敏,,0,张敏
30,,叶落无声,,0,
31,景德镇,美丽心情,江西,2,一转身一辈子
32,,童子宇,,0,
33,景德镇,战士专家,江西,1,人生多变
34,,喜杨杨,,0,"温和从容,岁月静好!"
35,景德镇,海绵泡泡,江西,2,
36,景德镇,怡儿,江西,0,
37,景德镇,林卫中,江西,1,海纳百川，有容乃大；壁立千仞，无欲则刚。
38,,黄朝霞,,0,
39,景德镇,菊子,江西,2,
40,景德镇,山猫,江西,1,青山原不老，为雪白头。绿水本无忧，因风皱面。
41,景德镇,文川,江西,1,愿聊的朋友们可找我
42,景德镇,周东胜,江西,1,胜月飞
43,,羽歌,,2,又听了一夜的曲子，还是不想睡，其实感觉很困……
44,景德镇,二两一歌,江西,1,我们用激情燃烧人生！
45,,周敏,,0,
46,景德镇,莫萧遥,江西,1,
47,景德镇,好奇妈妈,江西,0,
48,景德镇,刀客,江西,1,
49,景德镇,成功,江西,1,欧洲妈妈母婴全球购2号店
50,景德镇,我很坏,江西,1,诠释一切
51,北海,涠洲岛24色主题客栈,广西,1,涠洲岛24色主题客栈。订房电话18977934524
52,,????,Ash Shariqah,2,?
53,景德镇,保长,江西,1,
54,景德镇,可心,江西,1,
55,,冬天寒梅,,0,
56,景德镇,麒麟,江西,1,好好把握机会！不放弃，不抛弃！
57,,四月的宝宝1,,0,
58,景德镇,心~简单,江西,2,
59,,懒猫,,0,
60,,冯正超,,0,
61,景德镇,肖绚,江西,1,悠然，随心，随性，随缘
62,南昌,吁龙,江西,1,我们说好的…
63,景德镇,迷迭香,江西,2,面向太阳，不问春暖花开，只求快乐面对。
64,,小桥,,1,"落霞与孤骛齐飞,秋水共长天一色！"
65,景德镇,梧桐落雨,江西,1,
66,景德镇,孟凛,江西,1,非诚勿扰
67,,段文清,,0,
68,,歌声绕梁,,2,唯独对美好保持执念！
69,,Qiu Yu,,0,
70,温州,珍珍,浙江,2,
71,景德镇,晚报小记者嘟嘟,江西,1,找嘟嘟的小记者很多，有时候回复慢了些，请千万别怪罪！
72,景德镇,好累啊,江西,2,活着就是累，但却不愿轻松的死去！
73,深圳,a?明月清风..,广东,2,
74,景德镇,巧克力一振中,江西,1,
75,景德镇,秦臻,江西,1,"尔燊,都昌省北山市秦家"
76,景德镇,AAA?薄荷苏打水?,江西,2,懂我的人继续懂我……
77,,齐天大圣,Southern,1,
78,景德镇,过客,江西,1,微小的幸福就在身边，满足就是天堂。
79,景德镇,廖老师奥数,江西,1,廖老师奥数
80,抚州,黄冠,江西,2,言宜慢，心宜善。
81,,宋建新,,0,
82,,LIMIT . LEE,,1,努力到无能为力，拼搏到感动自己！
83,景德镇,华少,江西,1,
84,长沙,天骏陶鼎专卖店：掌柜,湖南,2,干衣机旺季将要来！加油，加油！
85,景德镇,笑莫问,江西,1,杯酒醉余生
86,景德镇,海阔天空,江西,1,低头是一种能力，它不是自卑也不是怯弱，它就是清醒中的嬗变。
87,,小太阳,,0,
88,,午光闪烁,,2,
89,宜春,叶知秋,江西,2,一花一世界，一叶一菩提！
90,景德镇,简,江西,1,
91,,冰棒,,1,
92,景德镇,昌江猫,江西,1,
93,虹口,Jacky刘,上海,1,弹指一挥间
94,景德镇,余慧宏,江西,2,余慧宏
95,景德镇,努力奋起吧！男人,江西,1,事业的奋起，要靠自己的努力！！！！！！
96,绍兴,阿立,浙江,1,
97,浦东新区,况华,上海,1,每天比昨天更进一步
98,新余,彭小华13879027675,江西,1,
